Created on 05-12-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-05-09 05-PM,BTCUSD,9304.2,9375.8,9304.2,9314.9,1440.16,13455876.81
2018-05-09 04-PM,BTCUSD,9285.1,9310.6,9285,9304.2,561.92,5225067.49
2018-05-09 03-PM,BTCUSD,9315,9320.9,9285,9285.1,876.21,8151109.75
2018-05-09 02-PM,BTCUSD,9270,9320.4,9249.76,9315,762.92,7086424.26
2018-05-09 01-PM,BTCUSD,9276.8,9297.4,9247.56,9270,1074.29,9966541.58
2018-05-09 12-PM,BTCUSD,9247,9333,9246.9,9276.8,1566.8,14558144.95
2018-05-09 11-AM,BTCUSD,9204,9263.4,9183.2,9247,1361.97,12569703.57
2018-05-09 10-AM,BTCUSD,9112.8,9228.6,9098.5,9204,828.06,7581504.44
2018-05-09 09-AM,BTCUSD,9113.2,9133.9,9079.7,9112.8,506.06,4611211.07
2018-05-09 08-AM,BTCUSD,9028,9138,9021,9113.2,1087.0,9878104.48
2018-05-09 07-AM,BTCUSD,9094.2,9098.1,9028,9028,559.45,5070459.59
2018-05-09 06-AM,BTCUSD,9076,9115.6,9048.6,9094.2,718.15,6518370.89
2018-05-09 05-AM,BTCUSD,9083.4,9091.2,9019.9,9076,1551.78,14039855.94
2018-05-09 04-AM,BTCUSD,9048,9086.8,8980,9083.4,2101.31,18958320.59
2018-05-09 03-AM,BTCUSD,9084.1,9089.6,9008,9048,2386.56,21592190.94
2018-05-09 02-AM,BTCUSD,9167.6,9170,9082,9084.1,1043.54,9506860.12
2018-05-09 01-AM,BTCUSD,9129.9,9170,9129.9,9167.6,232.7,2131038.12
2018-05-09 12-AM,BTCUSD,9184.7,9203.1,9125,9129.9,709.53,6494481.91
2018-05-08 11-PM,BTCUSD,9205.3,9257.8,9169.8,9184.7,899.23,8296281.06
2018-05-08 10-PM,BTCUSD,9185.5,9255.8,9185.4,9205.3,715.98,6600880.34
2018-05-08 09-PM,BTCUSD,9161.6,9240,9161.5,9185.5,393.59,3621375.7
2018-05-08 08-PM,BTCUSD,9237.6,9248.9,9159.2,9161.6,578.1,5328720.89
2018-05-08 07-PM,BTCUSD,9217.2,9272.2,9199.5,9237.6,843.61,7792248.42
2018-05-08 06-PM,BTCUSD,9125,9244.7,9065,9217.2,1223.5,11226862.97
2018-05-08 05-PM,BTCUSD,9125.4,9166.5,9120.5,9125,570.36,5213273.56
2018-05-08 04-PM,BTCUSD,9185.3,9185.3,9111.4,9125.4,692.22,6331401.18
2018-05-08 03-PM,BTCUSD,9133.1,9185.3,9119.6,9185.3,1543.28,14112468.27
2018-05-08 02-PM,BTCUSD,9127.77,9170.1,9095.1,9133.1,962.91,8796120.75
2018-05-08 01-PM,BTCUSD,9129.9,9177.1,9106.2,9127.77,657.86,6014123.47
2018-05-08 12-PM,BTCUSD,9206,9206.1,9045.3,9129.9,3243.9,29553961.15
2018-05-08 11-AM,BTCUSD,9297.2,9303.7,9169.7,9206,2199.7,20299618.66
2018-05-08 10-AM,BTCUSD,9300.2,9351.1,9276.1,9297.2,1493.35,13891557.62
2018-05-08 09-AM,BTCUSD,9389.3,9389.3,9259.4,9300.2,2277.27,21176457.77
2018-05-08 08-AM,BTCUSD,9355.1,9394.1,9355.1,9389.3,650.0,6093076.44
2018-05-08 07-AM,BTCUSD,9324.7,9370,9324.7,9355.1,971.35,9074731.43
2018-05-08 06-AM,BTCUSD,9325,9362,9305,9324.7,746.72,6969819.41
2018-05-08 05-AM,BTCUSD,9416.44,9416.5,9315.1,9325,1203.17,11261912.9
2018-05-08 04-AM,BTCUSD,9433.3,9433.3,9401,9416.44,318.92,3003656.58
2018-05-08 03-AM,BTCUSD,9434,9452.9,9395.3,9433.3,662.13,6239929.33
2018-05-08 02-AM,BTCUSD,9415,9471,9414,9434,981.55,9274149.92
2018-05-08 01-AM,BTCUSD,9379.9,9445,9379.9,9415,705.91,6647882.04
2018-05-08 12-AM,BTCUSD,9370,9405.8,9353.3,9379.9,561.38,5267714.76
2018-05-07 11-PM,BTCUSD,9310.54,9373.9,9286.6,9370,427.42,3989783.44
2018-05-07 10-PM,BTCUSD,9391.3,9391.8,9280.8,9310.54,962.86,8987868.57
2018-05-07 09-PM,BTCUSD,9440.2,9449,9391,9391.3,573.62,5407150.07
2018-05-07 08-PM,BTCUSD,9426.5,9444.1,9378.6,9440.2,562.77,5297330.96
2018-05-07 07-PM,BTCUSD,9377,9449,9376,9426.5,1065.19,10034571.37
2018-05-07 06-PM,BTCUSD,9350.9,9380.1,9348,9377,323.58,3031005.74
2018-05-07 05-PM,BTCUSD,9348,9395.84,9346.8,9350.9,559.36,5241577.94
2018-05-07 04-PM,BTCUSD,9356,9414.1,9333.3,9348,1225.23,11486819.56
2018-05-07 03-PM,BTCUSD,9302.4,9365.7,9302,9356,718.08,6706545.35
2018-05-07 02-PM,BTCUSD,9278.8,9330.4,9182.7,9302.4,2796.71,25836776.71
2018-05-07 01-PM,BTCUSD,9339.7,9339.7,9270,9278.8,899.37,8361822.03
2018-05-07 12-PM,BTCUSD,9337.5,9371.4,9306.1,9339.7,447.37,4178890.36
2018-05-07 11-AM,BTCUSD,9303.9,9346.4,9274.9,9337.5,474.11,4416421.82
2018-05-07 10-AM,BTCUSD,9280.9,9338.4,9280.9,9303.9,622.31,5790304.76
2018-05-07 09-AM,BTCUSD,9403.4,9403.4,9263,9280.9,1831.01,17061173.16
2018-05-07 08-AM,BTCUSD,9325.1,9418,9286,9403.4,1321.57,12366616.35
2018-05-07 07-AM,BTCUSD,9373.1,9373.1,9258,9325.1,1380.36,12851476.77
2018-05-07 06-AM,BTCUSD,9370.3,9383.9,9358.58,9373.1,426.29,3993864.97
2018-05-07 05-AM,BTCUSD,9353.8,9400,9299.9,9370.3,916.64,8570876.97
2018-05-07 04-AM,BTCUSD,9355.88,9387.8,9340.11,9353.8,767.42,7188729.73
2018-05-07 03-AM,BTCUSD,9339.1,9355.9,9259.4,9355.88,1224.87,11392244.64
2018-05-07 02-AM,BTCUSD,9356.9,9375.8,9280,9339.1,1185.2,11052132.37
2018-05-07 01-AM,BTCUSD,9482.1,9487.4,9311,9356.9,2993.57,28065769.44
2018-05-07 12-AM,BTCUSD,9658.7,9677.9,9482,9482.1,1196.96,11460008.73
2018-05-06 11-PM,BTCUSD,9648.8,9667,9609.5,9658.7,357.82,3450284.96
2018-05-06 10-PM,BTCUSD,9565.2,9674.3,9565.2,9648.8,777.24,7491186.74
2018-05-06 09-PM,BTCUSD,9553.7,9587.5,9541,9565.2,643.33,6151817.73
2018-05-06 08-PM,BTCUSD,9552.1,9589.8,9536.2,9553.7,676.5,6471135.89
2018-05-06 07-PM,BTCUSD,9580.9,9594,9530.9,9552.1,485.27,4635661.7
2018-05-06 06-PM,BTCUSD,9609.92,9627.9,9562,9580.9,351.8,3375328.25
2018-05-06 05-PM,BTCUSD,9597.9,9649.8,9597.9,9609.92,463.9,4466156.92
2018-05-06 04-PM,BTCUSD,9520,9615,9519,9597.9,507.68,4864128.14
2018-05-06 03-PM,BTCUSD,9580.1,9592.27,9497.5,9520,815.7,7771702.04
2018-05-06 02-PM,BTCUSD,9578.2,9611.1,9555.4,9580.1,665.32,6377137.86
2018-05-06 01-PM,BTCUSD,9553.7,9628.9,9535.6,9578.2,946.87,9082017.29
2018-05-06 12-PM,BTCUSD,9545.1,9571.5,9454,9553.7,1843.17,17532293.17
2018-05-06 11-AM,BTCUSD,9618.1,9654,9502,9545.1,2299.55,22016401.12
2018-05-06 10-AM,BTCUSD,9603.5,9672.5,9598,9618.1,1326.67,12788304.42
2018-05-06 09-AM,BTCUSD,9630.1,9649,9558,9603.5,1523.59,14627678.4
2018-05-06 08-AM,BTCUSD,9723.4,9725,9554,9630.1,2309.59,22220857.38
2018-05-06 07-AM,BTCUSD,9695.6,9724,9667.06,9723.4,636.97,6176503.64
